,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5
01-01-2021 00:00,6305.501575,6503.773021,1.147534806,3.124969529,6709.304156,7265.233031,1.201480485,3.271874531,4981.371588,4016.071927,0.914965632,2.491636598,0,,,,8454.003882,11149.20701,1.498254637,4.080050612
01-01-2021 01:00,6307.381698,6508.577044,1.147229733,3.124138752,6675.150273,7195.66897,1.195018516,3.254277281,4977.7164,4010.871691,0.913724728,2.488257365,0,,,,8450.528987,11140.38569,1.496627767,4.075620313
01-01-2021 02:00,6315.936439,6550.961349,1.15155445,3.135915832,6646.525718,7164.485164,1.193221857,3.249384615,4980.889318,4033.213032,0.916710716,2.496388813,0,,,,8447.85612,11173.67499,1.499702021,4.083992129
01-01-2021 03:00,6320.286978,6551.819225,1.15182489,3.136652294,6632.039569,7126.32416,1.190336184,3.241526343,4976.919446,4020.838954,0.91558454,2.493322009,0,,,,8448.179692,11163.18944,1.499301071,4.082900261
01-01-2021 04:00,6319.296835,6542.97062,1.15112478,3.134745752,6669.666006,7195.826134,1.195959824,3.256840653,4975.485315,4013.405475,0.914806334,2.491202797,0,,,,8455.688174,11169.70557,1.499745826,4.084111419
01-01-2021 05:00,6310.565833,6525.404459,1.147872518,3.125889185,6656.319008,7168.263578,1.191888066,3.245752433,4976.260855,4016.085244,0.913656731,2.488072193,0,,,,8453.619148,11160.74859,1.496851091,4.076228469
01-01-2021 06:00,6307.560018,6530.770004,1.150492284,3.133023339,6647.622026,7162.894152,1.193638768,3.250519949,4973.096548,4016.744431,0.915489345,2.493062773,0,,,,8453.871215,11183.59666,1.501136581,4.087898728
01-01-2021 07:00,6296.084605,6507.085177,1.147306521,3.124347863,6640.266446,7147.313334,1.191206023,3.243895092,4968.065112,4008.590442,0.913657097,2.488073191,0,,,,8454.445503,11182.24899,1.499677797,4.083926163
01-01-2021 08:00,6314.406381,6543.261348,1.149973566,3.131610765,6625.604502,7116.634669,1.18821994,3.235763382,4966.454945,4005.98264,0.913010614,2.486312689,0,,,,8456.130319,11184.65859,1.49927364,4.082825563
01-01-2021 09:00,6320.111536,6530.367579,1.149029016,3.129038564,6614.641533,7068.26448,1.184469419,3.225549955,4961.410058,3980.968776,0.910513352,2.479512138,0,,,,8458.251471,11153.57391,1.497449488,4.077858026
01-01-2021 10:00,6318.531359,6559.152803,1.152316937,3.137992238,6444.283614,6756.462151,1.159680741,3.158045368,4959.335207,3998.1465,0.913008407,2.486306677,0,,,,8460.541242,11208.76289,1.502198696,4.090791082
01-01-2021 11:00,6329.486543,6572.678341,1.153307672,3.140690209,6448.68913,6756.584546,1.159498349,3.157548678,4962.552433,3998.107433,0.912857398,2.485895449,0,,,,8459.892897,11194.21757,1.501047487,4.087656105
01-01-2021 12:00,6350.916151,6616.505666,1.156362479,3.149009069,6473.093167,6806.460176,1.162967204,3.166995071,4962.253501,3998.457838,0.912352348,2.484520095,0,,,,8459.542374,11193.44718,1.500256892,4.085503157
01-01-2021 13:00,6347.365108,6599.036731,1.155364742,3.146292029,6457.001261,6763.318995,1.15988735,3.158608005,4965.605765,3996.940904,0.912619019,2.485246296,0,,,,8460.721443,11181.85173,1.500100087,4.085076145
01-01-2021 14:00,6326.446602,6560.807829,1.152738495,3.139140225,6449.951062,6752.933007,1.159689476,3.158069153,4966.252015,4000.183321,0.913550719,2.487783503,0,,,,8461.91741,11191.66877,1.501602596,4.089167781
01-01-2021 15:00,6327.739001,6572.943713,1.152636732,3.138863105,6436.45267,6735.903915,1.157138665,3.15112278,4966.075069,4007.147089,0.91335352,2.487246491,0,,,,8462.608335,11205.14526,1.500979915,4.087472093
01-01-2021 16:00,6327.410952,6562.140927,1.152732718,3.139124495,6461.080327,6775.324065,1.161495093,3.162986215,4966.695513,4000.701985,0.913528945,2.487724207,0,,,,8465.315512,11198.50953,1.501881538,4.089927397
01-01-2021 17:00,6338.787445,6584.142464,1.154041404,3.142688312,6453.435413,6758.59558,1.15945787,3.157438445,4966.026773,3999.337974,0.912932018,2.486098655,0,,,,8467.325324,11199.99604,1.501198821,4.08806822
01-01-2021 18:00,6334.951228,6586.449463,1.153589866,3.141458681,6425.247536,6711.984895,1.154893393,3.145008449,4963.817156,4002.969382,0.912801269,2.485742599,0,,,,8471.429701,11223.31169,1.501910751,4.090006948
01-01-2021 19:00,6341.924135,6618.472516,1.158047691,3.153598241,6412.998488,6705.649414,1.156115293,3.148335931,4962.474777,4011.554361,0.915137045,2.492103388,0,,,,8471.989796,11255.30192,1.506205546,4.101702546
01-01-2021 20:00,6331.837526,6593.242849,1.155538602,3.146765483,6398.68965,6671.820405,1.152923717,3.139644622,4965.497248,4013.804401,0.915090529,2.491976718,0,,,,8467.67673,11237.37233,1.504571768,4.097253435
