,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2
01-01-2021 00:00,0,,,,0,,,
01-01-2021 01:00,0,,,,0,,,
01-01-2021 02:00,0,,,,0,,,
01-01-2021 03:00,0,,,,0,,,
01-01-2021 04:00,0,,,,0,,,
01-01-2021 05:00,0,,,,0,,,
01-01-2021 06:00,0,,,,0,,,
01-01-2021 07:00,0,,,,0,,,
01-01-2021 08:00,0,,,,0,,,
01-01-2021 09:00,0,,,,0,,,
01-01-2021 10:00,0,,,,0,,,
01-01-2021 11:00,0,,,,0,,,
01-01-2021 12:00,0,,,,0,,,
01-01-2021 13:00,0,,,,0,,,
01-01-2021 14:00,0,,,,0,,,
01-01-2021 15:00,0,,,,0,,,
01-01-2021 16:00,0,,,,0,,,
01-01-2021 17:00,0,,,,0,,,
01-01-2021 18:00,0,,,,0,,,
01-01-2021 19:00,0,,,,0,,,
01-01-2021 20:00,0,,,,0,,,
01-01-2021 21:00,0,,,,0,,,
01-01-2021 22:00,0,,,,0,,,
01-01-2021 23:00,0,,,,0,,,
02-01-2021 00:00,0,,,,0,,,
02-01-2021 01:00,0,,,,0,,,
02-01-2021 02:00,0,,,,0,,,
02-01-2021 03:00,0,,,,0,,,
02-01-2021 04:00,0,,,,0,,,
02-01-2021 05:00,0,,,,0,,,
02-01-2021 06:00,0,,,,0,,,
02-01-2021 07:00,0,,,,0,,,
02-01-2021 08:00,0,,,,0,,,
02-01-2021 09:00,0,,,,0,,,
02-01-2021 10:00,0,,,,0,,,
02-01-2021 11:00,0,,,,0,,,
02-01-2021 12:00,0,,,,0,,,
02-01-2021 13:00,0,,,,0,,,
02-01-2021 14:00,0,,,,0,,,
02-01-2021 15:00,0,,,,0,,,
02-01-2021 16:00,0,,,,0,,,
02-01-2021 17:00,0,,,,0,,,
02-01-2021 18:00,0,,,,0,,,
02-01-2021 19:00,0,,,,0,,,
02-01-2021 20:00,0,,,,0,,,
02-01-2021 21:00,0,,,,0,,,
02-01-2021 22:00,0,,,,0,,,
02-01-2021 23:00,0,,,,0,,,
03-01-2021 00:00,0,,,,0,,,
03-01-2021 01:00,10000,14951.93434,1.893968987,4.744177081,0,,,
03-01-2021 02:00,10000,14971.13387,1.898775306,4.756216364,0,,,
03-01-2021 03:00,9994.911432,14910.12343,1.892623787,4.740807507,0,,,
03-01-2021 04:00,9991.852978,14907.21015,1.893314927,4.742538736,0,,,
03-01-2021 05:00,9972.762754,14845.33472,1.889077681,4.731924916,0,,,
03-01-2021 06:00,9976.059272,14847.76269,1.890513657,4.735521874,0,,,
03-01-2021 07:00,9975.175271,14864.38705,1.892549017,4.740620218,0,,,
03-01-2021 08:00,9959.642532,14837.75672,1.892313831,4.740031103,0,,,
03-01-2021 09:00,9951.605364,14770.73518,1.888573167,4.730661166,0,,,
03-01-2021 10:00,9971.664696,14842.87764,1.89375231,4.74363433,0,,,
03-01-2021 11:00,9969.664876,14791.81689,1.889826098,4.733799615,0,,,
03-01-2021 12:00,9963.236097,14780.5416,1.888747718,4.731098397,0,,,
03-01-2021 13:00,9985.268689,14824.38513,1.890595682,4.735727336,0,,,
03-01-2021 14:00,9953.184966,14730.62465,1.886004637,4.724227289,0,,,
03-01-2021 15:00,9938.257558,14700.03767,1.884135064,4.719544222,0,,,
03-01-2021 16:00,9935.391846,14694.79344,1.88635992,4.725117235,0,,,
03-01-2021 17:00,9955.158254,14752.25532,1.890693645,4.735972722,0,,,
03-01-2021 18:00,9951.011181,14752.59399,1.891513157,4.738025507,0,,,
03-01-2021 19:00,9964.16048,14734.34584,1.887939825,4.729074716,0,,,
03-01-2021 20:00,9986.054398,14784.74998,1.890827812,4.736308796,0,,,
03-01-2021 21:00,9973.316211,14767.19362,1.893631642,4.74333207,0,,,
03-01-2021 22:00,9951.98427,14726.9585,1.890769361,4.736162383,0,,,
03-01-2021 23:00,9944.613065,14672.94773,1.887720826,4.728526149,0,,,
04-01-2021 00:00,9968.716074,14737.65445,1.892338798,4.740093642,0,,,
04-01-2021 01:00,9978.006015,14771.59586,1.895770899,4.748690666,0,,,
04-01-2021 02:00,9988.024801,14763.60248,1.892298343,4.739992308,0,,,
04-01-2021 03:00,9993.150691,14768.27521,1.893278914,4.742448527,0,,,
04-01-2021 04:00,10000,14800.05491,1.896046628,4.749381337,0,,,
04-01-2021 05:00,10000,14789.61001,1.895805178,4.748776531,0,,,
04-01-2021 06:00,9996.987104,14792.29968,1.895984025,4.749224523,0,,,
04-01-2021 07:00,10000,14805.36782,1.897564859,4.753184332,0,,,
04-01-2021 08:00,10000,14816.0869,1.898166881,4.75469233,0,,,
04-01-2021 09:00,10000,14805.66653,1.899152116,4.757160231,0,,,
04-01-2021 10:00,10000,14778.42858,1.894147981,4.744625441,0,,,
04-01-2021 11:00,10000,14796.27521,1.897952694,4.754155815,0,,,
04-01-2021 12:00,10000,14790.14782,1.896122204,4.749570646,0,,,
04-01-2021 13:00,10000,14774.93365,1.895649399,4.748386322,0,,,
04-01-2021 14:00,9977.883422,14714.99867,1.890243906,4.734846178,0,,,
04-01-2021 15:00,9947.922725,14644.8256,1.886232181,4.724797262,0,,,
04-01-2021 16:00,9929.895246,14583.02326,1.882094767,4.714433509,0,,,
04-01-2021 17:00,9933.611453,14609.34047,1.884950118,4.72158584,0,,,
04-01-2021 18:00,9927.155749,14598.89877,1.883402074,4.717708166,0,,,
04-01-2021 19:00,9930.230349,14603.87905,1.883531222,4.718031666,0,,,
04-01-2021 20:00,9950.36988,14646.26967,1.885568587,4.723135035,0,,,
04-01-2021 21:00,9937.75047,14648.23786,1.88985914,4.733882383,0,,,
04-01-2021 22:00,9924.608282,14602.45121,1.883045588,4.716815209,0,,,
04-01-2021 23:00,9938.846886,14668.57615,1.890532178,4.735568266,0,,,
05-01-2021 00:00,9916.033775,14612.73893,1.885673744,4.72339844,0,,,
05-01-2021 01:00,9928.973268,14624.92209,1.884882042,4.721415317,0,,,
05-01-2021 02:00,9921.380929,14614.21586,1.883547326,4.718072006,0,,,
05-01-2021 03:00,9956.742035,14681.08221,1.886694744,4.725955929,0,,,
05-01-2021 04:00,9968.639664,14755.17592,1.894396823,4.745248761,0,,,
05-01-2021 05:00,9982.520873,14794.06583,1.896682684,4.750974584,0,,,
05-01-2021 06:00,9966.387505,14756.87754,1.894172196,4.744686096,0,,,
