,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2
01-01-2021 0.00,6639.479823,7593.03384,1.361611133,3.357820177,4906.565084,4060.181981,1.011328414,2.494000578
01-01-2021 1.00,6641.276712,7576.022888,1.357954598,3.348802927,4905.943547,4048.300854,1.00835553,2.486669257
01-01-2021 2.00,6640.811217,7596.302677,1.362300424,3.359520012,4904.563723,4057.021025,1.011357124,2.494071379
01-01-2021 3.00,6637.718669,7558.721027,1.356643108,3.345568708,4908.366842,4047.163278,1.008403896,2.486788531
01-01-2021 4.00,6639.839033,7578.474073,1.358928343,3.351204243,4890.515037,4023.761712,1.006097065,2.481099738
01-01-2021 5.00,6637.926861,7593.92271,1.361446581,3.357414381,4878.687112,4013.454001,1.005879607,2.480563471
01-01-2021 6.00,6638.815185,7577.712628,1.357735393,3.348262352,4863.099502,3976.133781,0.999738381,2.465418814
01-01-2021 7.00,6637.816156,7581.067306,1.359940789,3.353701,4862.31816,3976.653623,1.00125172,2.469150806
01-01-2021 8.00,6635.477499,7571.448094,1.357868561,3.348590754,4871.435785,3991.205796,1.002056491,2.471135422
01-01-2021 9.00,6634.256889,7584.313222,1.360067837,3.35401431,4879.402349,4013.814667,1.005568074,2.479795211
01-01-2021 10.00,6636.723599,7579.805528,1.358228271,3.349477822,4889.491242,4027.049555,1.005968575,2.480782871
01-01-2021 11.00,6639.486003,7589.259727,1.359770059,3.353279969,4906.273596,4058.580266,1.010233493,2.491300433
01-01-2021 12.00,6641.410179,7613.795385,1.36260237,3.36026463,4895.390959,4050.555265,1.009872182,2.490409417
01-01-2021 13.00,6647.091098,7615.701653,1.362737573,3.360598048,4914.530242,4078.640294,1.013095679,2.498358767
01-01-2021 14.00,6647.681288,7608.906495,1.36183294,3.358367165,4912.086553,4069.492037,1.011775167,2.495102299
01-01-2021 15.00,6647.997165,7617.279489,1.36189787,3.358527289,4905.319317,4062.598833,1.010465006,2.49187136
01-01-2021 16.00,6648.108746,7615.714302,1.360733768,3.355656538,4921.344116,4090.979965,1.012940336,2.497975682
01-01-2021 17.00,6648.297846,7616.365373,1.361668167,3.357960825,4909.035657,4068.432639,1.01103657,2.493280871
01-01-2021 18.00,6646.691496,7598.845501,1.358634525,3.35047967,4907.663626,4058.546019,1.008708918,2.487540734
01-01-2021 19.00,6648.085181,7620.867042,1.363002704,3.361251879,4884.623291,4026.681785,1.006878005,2.483025585
01-01-2021 20.00,6645.074643,7603.612936,1.360907875,3.356085898,4848.156716,3955.498771,0.998081248,2.461332219
01-01-2021 21.00,6647.998381,7607.172803,1.362084535,3.358987616,4848.643124,3954.288125,0.99860341,2.462619904
01-01-2021 22.00,6650.851513,7630.622003,1.363559215,3.36262427,4849.748598,3966.400752,0.999581518,2.46503198
01-01-2021 23.00,6650.933553,7612.076778,1.361566262,3.357709522,4861.048857,3975.846712,1.00036679,2.466968513
02-01-2021 0.00,6650.311079,7617.204379,1.362613834,3.360292901,4863.691157,3983.937016,1.001764695,2.470415836
02-01-2021 1.00,6650.462872,7615.398459,1.361624682,3.357853589,4861.606661,3979.512258,1.000614421,2.467579186
02-01-2021 2.00,6650.880478,7615.316804,1.362167606,3.359192475,4852.503132,3962.226578,0.999019402,2.463645767
02-01-2021 3.00,6655.531174,7622.425078,1.362929157,3.361070507,4848.696773,3953.134987,0.998025553,2.461194871
02-01-2021 4.00,6652.261981,7615.173128,1.362150009,3.359149077,4842.761152,3942.664534,0.996696348,2.457916968
02-01-2021 5.00,6652.328497,7606.085589,1.360782541,3.355776816,4840.166941,3933.097915,0.995141577,2.454082803
02-01-2021 6.00,6652.985245,7615.859309,1.362809922,3.360776467,4859.944922,3972.485693,1.000707332,2.46780831
02-01-2021 7.00,6653.288604,7614.367298,1.360963782,3.356223768,4854.951669,3963.587024,0.99832694,2.461938112
02-01-2021 8.00,6658.339822,7636.25234,1.363778463,3.36316495,4844.767969,3950.841787,0.997520153,2.459948523
02-01-2021 9.00,6658.642136,7650.313624,1.366060727,3.36879316,4852.423912,3971.574503,1.000777589,2.467981568
02-01-2021 10.00,6659.630664,7625.264539,1.362064695,3.358938689,4866.983783,3982.827611,1.000683192,2.46774878
02-01-2021 11.00,6658.777032,7628.531366,1.362540452,3.360111937,4867.14134,3986.128239,1.001246311,2.469137467
02-01-2021 12.00,6661.970458,7627.762923,1.364433515,3.36478035,4846.420313,3943.446682,0.997711579,2.460420593
02-01-2021 13.00,6665.921488,7651.062727,1.366940531,3.370962812,4839.51685,3939.070919,0.997537209,2.459990585
02-01-2021 14.00,6662.864578,7642.334026,1.364909756,3.36595479,4851.780585,3960.691348,0.999092814,2.463826807
02-01-2021 15.00,6659.110459,7625.774822,1.36476216,3.365590811,4766.070311,3803.53415,0.981504985,2.420454093
02-01-2021 16.00,6660.984606,7627.27442,1.364774389,3.365620969,4757.599858,3787.351687,0.979453307,2.415394524
02-01-2021 17.00,6661.46812,7631.909074,1.364986384,3.366143761,4750.213499,3776.658814,0.978031557,2.411888398
02-01-2021 18.00,6660.7635,7621.348226,1.363646355,3.362839164,4763.165924,3794.486534,0.979829648,2.416322606
02-01-2021 19.00,6658.028593,7604.662152,1.360936058,3.356155397,4748.016422,3762.912305,0.975099056,2.404656664
02-01-2021 20.00,6657.800321,7605.339902,1.361471438,3.35747568,4756.351349,3777.746935,0.977215321,2.409875507
02-01-2021 21.00,6657.234764,7627.54469,1.365458494,3.367308014,4759.665651,3795.501491,0.980933969,2.419045933
02-01-2021 22.00,6659.053663,7616.648365,1.364086178,3.363923794,4780.797475,3824.546561,0.984096086,2.426843916
02-01-2021 23.00,6662.750637,7621.851789,1.364794065,3.36566949,4771.576295,3806.523574,0.982197031,2.422160723
03-01-2021 0.00,6664.914411,7614.376804,1.363611839,3.362754044,4777.118323,3809.593765,0.982157282,2.4220627
03-01-2021 1.00,6665.754736,7613.307826,1.362351098,3.359644976,4791.992073,3835.022926,0.984302535,2.427353032
03-01-2021 2.00,6663.753169,7627.311872,1.365985045,3.368606523,4779.300459,3821.470638,0.984522234,2.427894824
03-01-2021 3.00,6666.603879,7602.620326,1.362141569,3.359128266,4797.800322,3837.641496,0.985184859,2.4295289
03-01-2021 4.00,6666.295993,7609.584476,1.363474856,3.362416236,4791.882828,3830.986793,0.98493458,2.428911695
03-01-2021 5.00,6661.157453,7595.499119,1.363391905,3.362211674,4798.616376,3840.478832,0.986926287,2.433823373
03-01-2021 6.00,6658.661607,7583.698477,1.361688391,3.358010699,4813.807006,3864.007572,0.989203659,2.439439516
03-01-2021 7.00,6656.403077,7583.486151,1.363019926,3.361294351,4817.053191,3871.712416,0.991183315,2.444321474
03-01-2021 8.00,6657.50019,7593.905341,1.362736261,3.360594814,4808.135403,3861.033826,0.988966779,2.438855355
03-01-2021 9.00,6659.314826,7591.144297,1.363860793,3.363367982,4809.188165,3858.087483,0.989609546,2.44044046
