,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2
01-01-2021 0.00,0,,,,8271.985183,10312.80351,1.510326011,3.910039683
01-01-2021 1.00,0,,,,8274.19067,10318.50787,1.509992148,3.909175355
01-01-2021 2.00,0,,,,8275.2597,10317.98881,1.509519092,3.907950674
01-01-2021 3.00,0,,,,8270.400925,10330.93181,1.508952574,3.906484032
01-01-2021 4.00,0,,,,8269.39739,10312.40771,1.508185255,3.904497541
01-01-2021 5.00,0,,,,8275.289579,10350.34177,1.509689786,3.908392577
01-01-2021 6.00,0,,,,8279.251409,10361.69043,1.511828098,3.913928394
01-01-2021 7.00,0,,,,8278.656307,10364.99878,1.509502481,3.907907668
01-01-2021 8.00,0,,,,8272.126652,10375.6624,1.512609552,3.915951477
01-01-2021 9.00,0,,,,8267.676325,10377.60357,1.511976054,3.914311433
01-01-2021 10.00,0,,,,8264.174354,10343.96761,1.509120563,3.906918932
01-01-2021 11.00,0,,,,8264.221297,10361.69948,1.509086553,3.906830885
01-01-2021 12.00,0,,,,8258.266604,10343.62334,1.50716174,3.901847792
01-01-2021 13.00,0,,,,8255.338772,10344.14545,1.507393739,3.902448407
01-01-2021 14.00,0,,,,8257.166424,10359.92037,1.509351715,3.907517355
01-01-2021 15.00,0,,,,8258.677426,10368.22688,1.509723845,3.908480752
01-01-2021 16.00,0,,,,8258.789152,10358.56692,1.508880106,3.90629642
01-01-2021 17.00,0,,,,8255.956034,10361.17946,1.50777023,3.903423093
01-01-2021 18.00,0,,,,8253.526651,10359.49724,1.507876718,3.903698777
01-01-2021 19.00,0,,,,8260.463007,10370.29207,1.508178264,3.904479443
01-01-2021 20.00,0,,,,8267.820273,10396.56573,1.511223093,3.912362113
01-01-2021 21.00,0,,,,8272.723594,10380.38991,1.508534487,3.905401657
01-01-2021 22.00,0,,,,8273.919581,10388.53102,1.508728184,3.905903114
01-01-2021 23.00,0,,,,8274.013659,10384.66603,1.50954913,3.908028437
02-01-2021 0.00,0,,,,8277.010678,10419.99018,1.512273871,3.915082442
02-01-2021 1.00,0,,,,8273.223222,10415.84051,1.512312832,3.915183307
02-01-2021 2.00,0,,,,8271.813723,10421.43364,1.514154177,3.919950312
02-01-2021 3.00,0,,,,8269.65274,10397.17034,1.511126493,3.912112027
02-01-2021 4.00,0,,,,8270.081793,10381.60143,1.510868308,3.911443619
02-01-2021 5.00,0,,,,8270.506386,10389.21056,1.509844005,3.908791831
02-01-2021 6.00,0,,,,8270.919998,10383.59988,1.510799285,3.911264929
02-01-2021 7.00,0,,,,8268.641477,10373.55989,1.508287398,3.904761977
02-01-2021 8.00,0,,,,8262.645712,10368.36021,1.509568974,3.908079811
02-01-2021 9.00,0,,,,8259.340226,10384.20865,1.512539534,3.915770209
02-01-2021 10.00,0,,,,8255.63855,10333.02277,1.507636558,3.903077036
02-01-2021 11.00,0,,,,8258.802992,10332.06768,1.50813185,3.904359281
02-01-2021 12.00,0,,,,8254.959205,10323.66232,1.507762977,3.903404318
02-01-2021 13.00,0,,,,8254.656499,10330.6638,1.508397564,3.905047183
02-01-2021 14.00,0,,,,8250.62473,10298.68414,1.505217744,3.896815037
02-01-2021 15.00,0,,,,8259.937839,10311.48024,1.507752013,3.903375932
02-01-2021 16.00,0,,,,8257.289672,10344.28161,1.511894046,3.914099124
02-01-2021 17.00,0,,,,8255.66636,10297.84248,1.506472842,3.900064325
02-01-2021 18.00,0,,,,8257.727977,10297.16195,1.5075508,3.902855018
02-01-2021 19.00,0,,,,8263.316221,10301.29463,1.507883389,3.90371605
02-01-2021 20.00,0,,,,8253.300972,10314.61491,1.511595115,3.91332523
02-01-2021 21.00,0,,,,8254.752908,10288.47074,1.50994113,3.909043274
02-01-2021 22.00,0,,,,8257.358422,10266.594,1.506010142,3.898866452
02-01-2021 23.00,0,,,,8260.323266,10304.12424,1.510717736,3.911053809
03-01-2021 0.00,0,,,,8259.559949,10269.96289,1.508112788,3.904309933
03-01-2021 1.00,0,,,,8258.864873,10289.62171,1.512423948,3.915470972
03-01-2021 2.00,0,,,,8256.828369,10280.07886,1.511228691,3.912376604
03-01-2021 3.00,0,,,,8257.498067,10264.37726,1.510103257,3.909463002
03-01-2021 4.00,0,,,,8260.408055,10259.60555,1.509637681,3.908257685
03-01-2021 5.00,0,,,,8265.811389,10267.83281,1.511117974,3.912089974
03-01-2021 6.00,0,,,,8271.035636,10266.61369,1.51040761,3.910250932
03-01-2021 7.00,0,,,,8270.64527,10249.12437,1.510831737,3.911348942
03-01-2021 8.00,0,,,,8276.732457,10250.06387,1.509668572,3.908337657
03-01-2021 9.00,0,,,,8272.885446,10253.73501,1.512253218,3.915028973
03-01-2021 10.00,0,,,,8275.088932,10259.62739,1.513890734,3.919268293
03-01-2021 11.00,0,,,,8271.367534,10249.98208,1.513659953,3.918670829
03-01-2021 12.00,0,,,,8270.800816,10222.57553,1.511078387,3.911987487
03-01-2021 13.00,0,,,,8267.456994,10205.63156,1.509578849,3.908105378
03-01-2021 14.00,0,,,,8267.527296,10204.36043,1.511296684,3.912552631
03-01-2021 15.00,0,,,,8267.793379,10190.01276,1.510438399,3.910330642
03-01-2021 16.00,0,,,,8268.166181,10195.1781,1.51093445,3.911614852
03-01-2021 17.00,0,,,,8266.333598,10165.66826,1.510000481,3.909196926
03-01-2021 18.00,0,,,,8265.251752,10164.40899,1.509316303,3.907425678
03-01-2021 19.00,0,,,,8265.7138,10144.0799,1.508028406,3.904091478
03-01-2021 20.00,0,,,,8261.09448,10150.62875,1.510076497,3.909393723
03-01-2021 21.00,0,,,,8253.56229,10099.836,1.504809289,3.895757598
03-01-2021 22.00,0,,,,8252.515695,10100.58421,1.507009149,3.901452753
03-01-2021 23.00,0,,,,8257.966218,10107.04788,1.508624111,3.905633683
04-01-2021 0.00,0,,,,8260.021421,10140.70934,1.512084637,3.914592538
04-01-2021 1.00,0,,,,8259.654222,10129.69609,1.511737515,3.913693886
04-01-2021 2.00,0,,,,8262.010189,10116.41778,1.509871981,3.908864259
