Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,THERMAL_EFF,DATE_TIME
0,4773.26909,3647.211062,0.938560435,2.199101182,9442.935213,13742.33771,1.779998195,4.170638338,0.0,0.0,0.0,0.0,9596.470201,14161.65411,1.798875785,4.214869621,36.64887789500569,01-01-2021 00:00
1,4774.466897,3659.04556,0.940181516,2.202899468,9436.727588,13757.31341,1.78140329,4.173930558,0.0,0.0,0.0,0.0,9604.015654,14211.33472,1.802412241,4.22315574,36.70528624859652,01-01-2021 01:00
2,4768.682156,3648.859584,0.938417723,2.198766799,9432.412613,13742.44708,1.779537981,4.169560031,0.0,0.0,0.0,0.0,9617.080916,14240.18256,1.803266763,4.225157934,36.76236595494451,01-01-2021 02:00
3,4761.953283,3633.849842,0.936180195,2.193524143,9415.304123,13685.50727,1.77500655,4.158942628,0.0,0.0,0.0,0.0,9608.860256,14205.23448,1.800307695,4.218224667,36.73242022298856,01-01-2021 03:00
4,4752.382701,3633.477472,0.936913022,2.195241199,9367.083892,13614.68485,1.771785319,4.151395097,0.0,0.0,0.0,0.0,9614.622934,14272.4512,1.805986334,4.231530045,36.79018588041214,01-01-2021 04:00
5,4758.594422,3635.77562,0.935939083,2.192959202,9335.58537,13504.37865,1.762405672,4.129418043,0.0,0.0,0.0,0.0,9606.875303,14219.68147,1.800384119,4.218403734,36.768216953594575,01-01-2021 05:00
6,4760.898995,3641.878109,0.938490999,2.198938489,9323.547643,13491.5367,1.764825756,4.135088441,0.0,0.0,0.0,0.0,9606.853937,14238.91657,1.804964114,4.229134925,36.72453018631616,01-01-2021 06:00
7,4762.917198,3650.86331,0.939089278,2.200340292,9292.480219,13426.63085,1.759774217,4.123252392,0.0,0.0,0.0,0.0,9606.28905,14250.97727,1.804942864,4.229085136,36.75606946669147,01-01-2021 07:00
8,4768.853973,3659.95732,0.940111199,2.20273471,9320.327312,13493.60027,1.764017651,4.133195005,0.0,0.0,0.0,0.0,9609.756557,14257.54114,1.80527196,4.229856228,36.76629536238613,01-01-2021 08:00
9,4766.841604,3661.802418,0.93922514,2.200658623,9320.33943,13502.7983,1.762693773,4.130093081,0.0,0.0,0.0,0.0,9591.139522,14218.05774,1.800789141,4.219352724,36.755749702412864,01-01-2021 09:00
10,4775.730325,3677.695093,0.941848202,2.20680461,9307.749306,13476.82501,1.762167049,4.128858937,0.0,0.0,0.0,0.0,9604.189772,14258.12483,1.804577068,4.228228055,36.781958787538215,01-01-2021 10:00
11,4770.992028,3672.628668,0.940725816,2.204174793,9308.010329,13482.39414,1.761537408,4.127383651,0.0,0.0,0.0,0.0,9604.060781,14262.55397,1.803895174,4.226630339,36.80729306564984,01-01-2021 11:00
12,4768.240032,3655.552246,0.938609697,2.199216605,9288.60346,13397.72699,1.755885276,4.114140381,0.0,0.0,0.0,0.0,9608.797352,14237.31886,1.802119804,4.222470543,36.77836574454153,01-01-2021 12:00
13,4762.599816,3648.017988,0.936321302,2.193854765,9291.123962,13401.95039,1.753694379,4.109006982,0.0,0.0,0.0,0.0,9595.999294,14201.21428,1.797366029,4.211332176,36.78212588364722,01-01-2021 13:00
14,4758.545538,3634.652102,0.93488305,2.190484858,9264.262367,13316.58064,1.748374921,4.096543186,0.0,0.0,0.0,0.0,9590.422226,14168.74352,1.795556766,4.207092968,36.73500252814969,01-01-2021 14:00
15,4766.872082,3659.256968,0.939930267,2.202310777,9256.963293,13340.21486,1.753593661,4.108770995,0.0,0.0,0.0,0.0,9596.127686,14228.06937,1.803013857,4.224565361,36.73624683418119,01-01-2021 15:00
16,4772.022942,3658.082774,0.937994113,2.197774257,9266.905942,13326.52042,1.749509541,4.099201665,0.0,0.0,0.0,0.0,9593.2632,14179.20428,1.796663603,4.20968635,36.73947656471127,01-01-2021 16:00
17,4771.978813,3654.68294,0.937464487,2.196533312,9283.066536,13355.85637,1.751138569,4.103018572,0.0,0.0,0.0,0.0,9583.664738,14143.9846,1.794195499,4.20390344,36.69863296466045,01-01-2021 17:00
18,4769.782642,3652.654027,0.937314432,2.196181724,9300.242029,13404.24741,1.754439747,4.110753422,0.0,0.0,0.0,0.0,9589.407025,14164.64747,1.795653853,4.207320449,36.72239718020225,01-01-2021 18:00
19,4777.523421,3674.740504,0.941183251,2.205246591,9300.632333,13439.03134,1.75901775,4.121479947,0.0,0.0,0.0,0.0,9574.707201,14162.1022,1.797782413,4.212307787,36.672327257377155,01-01-2021 19:00
20,4788.693728,3685.264445,0.941091324,2.205031201,9311.627562,13434.8304,1.75630517,4.115124216,0.0,0.0,0.0,0.0,9583.813686,14151.18241,1.794647239,4.204961894,36.70806642859128,01-01-2021 20:00
21,4777.741024,3674.424569,0.940061937,2.202619288,9338.415278,13525.44114,1.762609724,4.129896151,0.0,0.0,0.0,0.0,9589.797748,14191.19441,1.797678068,4.212063301,36.749793631680056,01-01-2021 21:00
22,4784.518822,3695.117293,0.94290319,2.209276507,9309.078724,13481.4244,1.760601598,4.125190994,0.0,0.0,0.0,0.0,9587.901226,14216.62906,1.800083763,4.217699983,36.76645795972694,01-01-2021 22:00
23,4779.320789,3682.931017,0.941585916,2.206190057,9315.053989,13487.01137,1.761174508,4.126533356,10000.0,15170.72442,1.850752895,4.336420678,9570.658354,14163.91535,1.797062803,4.210621699,36.6917091813,01-01-2021 23:00
