Unnamed: 0,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,DATE_TIME,THERMAL_EFF
01-01-2021 0.00,7593.03384,1.361611133,3.357820177,4906.565084,4060.181981,1.011328414,2.494000578,6639.479823,25.943255932045133
01-01-2021 1.00,7576.022888,1.357954598,3.348802927,4905.943547,4048.300854,1.00835553,2.486669257,6641.276712,25.95483464670115
01-01-2021 2.00,7596.302677,1.362300424,3.359520012,4904.563723,4057.021025,1.011357124,2.494071379,6640.811217,25.94129231662209
01-01-2021 3.00,7558.721027,1.356643108,3.345568708,4908.366842,4047.163278,1.008403896,2.486788531,6637.718669,25.920593565136336
01-01-2021 4.00,7578.474073,1.358928343,3.351204243,4890.515037,4023.761712,1.006097065,2.481099738,6639.839033,25.94462815841322
01-01-2021 5.00,7593.92271,1.361446581,3.357414381,4878.687112,4013.454001,1.005879607,2.480563471,6637.926861,25.949428963398702
01-01-2021 6.00,7577.712628,1.357735393,3.348262352,4863.099502,3976.133781,0.999738381,2.465418814,6638.815185,25.964814874011864
01-01-2021 7.00,7581.067306,1.359940789,3.353701,4862.31816,3976.653623,1.00125172,2.469150806,6637.816156,25.93418418225772
01-01-2021 8.00,7571.448094,1.357868561,3.348590754,4871.435785,3991.205796,1.002056491,2.471135422,6635.477499,25.940805328758316
01-01-2021 9.00,7584.313222,1.360067837,3.35401431,4879.402349,4013.814667,1.005568074,2.479795211,6634.256889,25.94286455695949
01-01-2021 10.00,7579.805528,1.358228271,3.349477822,4889.491242,4027.049555,1.005968575,2.480782871,6636.723599,25.962561342597752
01-01-2021 11.00,7589.259727,1.359770059,3.353279969,4906.273596,4058.580266,1.010233493,2.491300433,6639.486003,25.965469518205207
01-01-2021 12.00,7613.795385,1.36260237,3.36026463,4895.390959,4050.555265,1.009872182,2.490409417,6641.410179,25.995268026545293
01-01-2021 13.00,7615.701653,1.362737573,3.360598048,4914.530242,4078.640294,1.013095679,2.498358767,6647.091098,25.999196721785083
01-01-2021 14.00,7608.906495,1.36183294,3.358367165,4912.086553,4069.492037,1.011775167,2.495102299,6647.681288,25.993254007703214
