Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,CMP_SPEED_6,POWER_6,FUEL_FLOW_6,CO2_6,THERMAL_EFF
01-01-2021 0.00,5098.990208,4447.579151,1.00749211,2.55591556,6091.007441,6384.771142,1.190139861,3.019276237,8921.811018,13121.74122,1.706478439,4.3291801,6017.748371,6321.315824,1.191611708,3.023010179,7840.046664,10275.00725,1.491805199,3.784573676,7976.080772,10787.93763,1.538563198,3.903194454,32.03019815129011
01-01-2021 1.00,5083.968597,4423.270837,1.003272006,2.545209539,6088.680829,6382.661131,1.188087022,3.014068373,8920.466427,13117.52857,1.703540583,4.321727028,6012.905533,6314.650941,1.189131488,3.016718088,7849.03772,10297.14728,1.491117902,3.782830066,7988.696241,10821.07298,1.538563622,3.90319553,32.11401049588075
01-01-2021 2.00,5061.381003,4380.268773,0.999177374,2.534821831,6074.082894,6351.466294,1.185854496,3.008404658,8913.296905,13099.19758,1.703127087,4.320678026,6012.519903,6312.467299,1.189491411,3.017631181,7842.618967,10281.85477,1.490790328,3.781999042,7969.938805,10774.58634,1.5360337,3.89677735,32.07336329216914
01-01-2021 3.00,5052.63757,4374.522229,0.999534619,2.535728131,6076.813557,6371.636334,1.188760844,3.015777799,8915.215259,13132.96479,1.706799158,4.329993735,6016.303557,6334.828876,1.192629654,3.025592616,7834.453966,10285.46885,1.492415297,3.786121441,7983.276287,10831.35999,1.541445005,3.910505335,32.04970276630545
01-01-2021 4.00,5050.895204,4366.394013,0.996982732,2.529254227,6077.642214,6364.919249,1.186261053,3.009436057,8923.843655,13134.57707,1.704238424,4.323497386,6018.574647,6331.465045,1.190373802,3.019869725,7834.225424,10269.51007,1.488947065,3.777322852,7977.16694,10801.24282,1.536925412,3.899039539,32.074513060498155
01-01-2021 5.00,5072.406762,4402.42613,1.001295357,2.540194963,6075.233224,6356.024033,1.186020377,3.008825483,8908.822335,13090.10357,1.702164737,4.318236632,6014.003642,6317.389553,1.189663528,3.018067824,7848.178587,10297.43441,1.491601067,3.784055811,7986.317523,10817.21407,1.538707879,3.903561497,32.10450319596581
01-01-2021 6.00,5079.657062,4420.88003,1.004420031,2.548121975,6070.03359,6353.600236,1.187204797,3.011830249,8923.643274,13146.78127,1.707764967,4.332443903,6021.707145,6341.287664,1.193218397,3.027086204,7855.183886,10328.61046,1.495567783,3.794119009,7968.633739,10789.30868,1.538536903,3.903127745,32.1162923112472
01-01-2021 7.00,5070.651846,4400.209885,1.001712607,2.541253486,6072.706047,6353.182445,1.186557828,3.010188949,8924.822193,13137.49974,1.706311856,4.328757494,6023.420801,6338.488988,1.192310435,3.024782787,7835.052843,10270.91198,1.490654732,3.781655047,7953.474894,10742.1678,1.534447931,3.892754397,32.04214261630295
01-01-2021 8.00,5079.391088,4414.428204,1.002924736,2.544328549,6075.658245,6356.77088,1.186586134,3.010260758,8923.297148,13127.89226,1.705240282,4.32603901,6019.780176,6328.150884,1.19106915,3.02163376,7834.854997,10265.7501,1.489902921,3.779747772,7963.461517,10761.59011,1.535368595,3.895090038,32.042199578073756
01-01-2021 9.00,5108.704889,4487.381086,1.010841409,2.564412425,6069.14068,6367.665608,1.1877734,3.013272742,8921.95202,13169.02855,1.708179949,4.333496676,6016.440873,6346.202024,1.192923447,3.026337943,7819.296601,10264.61755,1.490103463,3.780256528,7963.182495,10799.73809,1.538323924,3.902587438,32.03435273451824
01-01-2021 10.00,5090.264796,4436.703768,1.004236881,2.547657339,6059.747499,6325.421123,1.182560297,3.000047575,8909.990447,13093.08186,1.701217745,4.315834199,6014.756478,6319.498569,1.18901882,3.016432259,7820.149097,10230.53515,1.485810296,3.769365154,7966.388977,10769.16276,1.534279595,3.892327343,32.02024076502366
01-01-2021 11.00,5072.2565,4403.528184,1.000065307,2.537074437,6072.130106,6350.000948,1.183958195,3.003593915,8919.286298,13112.76386,1.701346236,4.31616017,6021.353081,6332.534811,1.189384415,3.017359742,7823.115749,10234.46185,1.485033018,3.767393271,7977.877619,10795.00891,1.535109773,3.894433431,32.04929690330959
01-01-2021 12.00,5062.818874,4393.812865,1.001469783,2.540637464,6075.523605,6370.089342,1.188609906,3.015394882,8902.133103,13100.42058,1.704592137,4.324394723,6025.968583,6354.340045,1.194225279,3.02964057,7819.978159,10250.4246,1.489677196,3.779175126,7978.956979,10820.70856,1.540488219,3.908078056,31.999212503997065
01-01-2021 13.00,5078.038432,4421.046388,1.002543916,2.543362443,6076.643027,6368.994559,1.186418712,3.009836022,8922.112292,13139.27529,1.704069421,4.323068642,6025.46025,6350.644497,1.191753764,3.023370563,7825.761572,10255.95577,1.487445191,3.773512735,7977.218366,10808.91657,1.536984507,3.899189459,32.064522146391944
01-01-2021 14.00,5056.676216,4381.853428,0.998212022,2.532372821,6066.677637,6348.512838,1.184448784,3.004838495,8728.882932,12648.98224,1.671962994,4.241617564,6023.872718,6347.553054,1.191262915,3.022125323,7832.508338,10272.27018,1.488469683,3.776111777,7980.532458,10816.91735,1.537315983,3.900030384,32.09342334816962
01-01-2021 15.00,4806.108491,3915.928819,0.94762876,2.404047701,6067.726397,6330.923774,1.183297126,3.001916844,8757.135558,12686.57165,1.67502758,4.249392141,6021.767935,6322.46826,1.189423131,3.017457961,7838.726589,10258.92035,1.488061896,3.775077258,7982.801304,10791.55406,1.536093582,3.896929263,32.06049819369184
01-01-2021 16.00,4840.358339,3991.954857,0.95740549,2.428850374,6071.279194,6361.646234,1.187536375,3.012671433,8771.43422,12768.27931,1.682518314,4.26839545,6023.460697,6349.669995,1.19342576,3.027612264,7844.007441,10308.18203,1.493426477,3.78868671,7993.953934,10857.93649,1.54273294,3.913772708,32.098729071547346
01-01-2021 17.00,4822.751838,3959.266656,0.95223178,2.415725144,6077.121792,6369.354499,1.186385978,3.00975298,8769.098439,12750.3847,1.678869448,4.259138609,6025.651553,6350.707741,1.191735187,3.023323435,7837.103483,10282.57319,1.489355987,3.77836025,7991.653307,10843.80729,1.539489138,3.905543479,32.10649511246708
01-01-2021 18.00,4798.638421,3908.366483,0.946146952,2.40028849,6082.578708,6368.27038,1.185833452,3.008351273,8771.96654,12734.20495,1.677148258,4.254772106,6029.769652,6346.396854,1.190870691,3.021130288,7838.395199,10266.37751,1.487554908,3.773791075,7990.021146,10819.2838,1.537131905,3.899563395,32.09473760773837
01-01-2021 19.00,4785.648339,3893.496599,0.944998354,2.397374602,6079.338705,6373.390536,1.186860849,3.010957685,8770.375568,12753.27528,1.679237543,4.260072432,6028.858228,6356.699225,1.192408002,3.025030304,7837.425112,10282.5349,1.489460694,3.77862588,7996.952779,10855.90659,1.540424979,3.907917623,32.10411852184951
01-01-2021 20.00,4767.637045,3853.217703,0.939849718,2.384312982,6079.583895,6360.538894,1.184958001,3.006130333,8771.91416,12731.4647,1.676763957,4.253797171,6023.731532,6332.589789,1.18946613,3.017567044,7832.888421,10250.88916,1.486299022,3.770605007,7992.192181,10821.68888,1.537028519,3.899301114,32.07339629365544
01-01-2021 21.00,4769.604222,3857.653185,0.941685214,2.388969468,6094.22163,6393.958187,1.189600024,3.01790672,8789.08144,12784.49163,1.682490797,4.268325642,6017.865418,6323.15639,1.190297563,3.019676314,7836.362387,10266.21904,1.489392837,3.778453734,7990.410634,10824.26116,1.539256627,3.904953621,32.05463751110548
01-01-2021 22.00,4790.949254,3909.928533,0.94715321,2.402841274,6093.912691,6414.073255,1.190915368,3.02124363,8768.890617,12768.64356,1.680785489,4.26399943,6017.156545,6343.179993,1.191560347,3.022879882,7844.602139,10315.23827,1.492297179,3.785821786,7983.818161,10840.86855,1.539761928,3.906235523,32.14500893907512
01-01-2021 23.00,4761.19638,3856.121793,0.941644494,2.388866164,6095.38008,6416.168902,1.191801366,3.023491325,8765.250018,12759.49314,1.68112509,4.264860967,6020.113664,6347.886636,1.192664399,3.02568076,7844.378275,10314.21609,1.493083414,3.787816392,7973.216632,10814.32117,1.538814055,3.903830855,32.12489816095314
02-01-2021 0.00,4741.331278,3817.516193,0.938078865,2.37982049,6091.551372,6403.72516,1.191696746,3.023225914,8769.84797,12766.36727,1.683016543,4.269659409,6020.385429,6343.537874,1.193331398,3.027372877,7842.399793,10305.05791,1.493776211,3.789573955,7976.886423,10817.45997,1.540325955,3.907666408,32.08148793409938
02-01-2021 1.00,4750.728953,3835.217567,0.938474316,2.380823712,6094.788741,6409.952282,1.190309412,3.019706374,8757.654994,12729.90068,1.677923075,4.256737746,6014.852992,6332.119817,1.190327667,3.019752686,7840.34436,10295.76816,1.490697718,3.781764097,7988.002339,10841.41784,1.539483215,3.905528452,32.118760180586555
02-01-2021 2.00,4745.436513,3830.218883,0.938984946,2.382119133,6096.629708,6421.551011,1.19265832,3.025665339,8748.309781,12722.959,1.67932161,4.260285704,6017.497896,6345.332369,1.192819005,3.026072983,7833.888212,10293.63439,1.492194072,3.785560213,7992.780894,10866.96263,1.542948882,3.914320533,32.07990202918733
02-01-2021 3.00,4765.863291,3858.059046,0.941060863,2.387385546,6084.80195,6383.894447,1.188013934,3.013882955,8742.521802,12682.13009,1.674903287,4.249076821,6013.10333,6323.058823,1.189443437,3.017509475,7829.988023,10262.76782,1.488356265,3.775824046,8003.352669,10870.32564,1.541568691,3.910819116,32.06617870772006
02-01-2021 4.00,4771.774073,3870.28693,0.943940325,2.394690479,6076.876109,6372.436208,1.188777144,3.01581915,8754.786777,12725.94809,1.680181921,4.262468233,6021.085916,6343.99109,1.193137981,3.026882196,7816.246081,10240.07371,1.48894737,3.777323626,8008.684774,10892.95259,1.545445463,3.920654133,31.982568636034326
02-01-2021 5.00,4786.834383,3878.364877,0.943204818,2.392824565,6074.118956,6337.185774,1.183576952,3.002626738,8748.395869,12653.58236,1.672733986,4.243573502,6021.024687,6314.106197,1.188400678,3.01486409,7808.414937,10176.16254,1.481997834,3.759693286,8025.173209,10884.20313,1.542337585,3.912769731,31.931996355470904
02-01-2021 6.00,4760.268355,3847.35588,0.941492216,2.388479851,6069.417742,6352.430098,1.187146369,3.011682022,8732.545904,12663.0221,1.676395121,4.252861467,6022.084626,6341.816714,1.193111979,3.026816232,7812.380044,10225.7128,1.488256102,3.775569943,8010.838558,10892.00206,1.545692827,3.921281672,31.952550051795747
02-01-2021 7.00,4764.508097,3844.816071,0.940342243,2.385562474,6068.476662,6334.951639,1.184517561,3.005012976,8712.214221,12581.68403,1.66956723,4.235539731,6018.830932,6319.348039,1.190014468,3.018958127,7808.790081,10192.98258,1.484601416,3.766298337,8001.167545,10841.93925,1.540750098,3.90874242,31.92868382735587
