Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,THERMAL_EFF,DATE_TIME
0,8897.143298,13106.75093,1.804117603,4.897944316,8336.105019,11654.72584,1.682850265,4.568719289,0.0,0.0,0.0,0.0,6247.237534,6724.785198,1.286197014,3.491857374,8362.112961,11697.07089,1.69187315,4.593215248,32.117112187641816,01-01-2021 00:00
1,8902.708514,13171.57016,1.811215646,4.917214579,8307.277915,11627.15023,1.683302938,4.569948236,0.0,0.0,0.0,0.0,6251.971242,6762.017423,1.291535032,3.506349398,8308.090433,11605.61462,1.687774178,4.582087071,31.943387658442685,01-01-2021 01:00
2,8897.533969,13166.06573,1.810443789,4.915119089,8303.761982,11626.52191,1.682962529,4.569024071,0.0,0.0,0.0,0.0,6252.118347,6767.402124,1.291748829,3.506929828,8304.103448,11603.3054,1.68730527,4.580814047,31.945907154757247,01-01-2021 02:00
3,8891.018733,13140.72958,1.809217678,4.911790356,8314.613584,11645.50056,1.684720223,4.573795981,0.0,0.0,0.0,0.0,6265.773802,6790.856144,1.294145127,3.513435467,8291.003035,11561.36919,1.684616269,4.57351376,31.881257589095735,01-01-2021 03:00
4,8908.079831,13149.52661,1.807401613,4.906859978,8303.415688,11585.51312,1.678150383,4.555959721,0.0,0.0,0.0,0.0,6252.968391,6744.824456,1.288147029,3.497151412,8267.524363,11470.69922,1.675810395,4.549606959,31.797441502803856,01-01-2021 04:00
5,8900.101978,13149.0353,1.808002343,4.908490882,8311.716031,11624.60682,1.681523194,4.565116464,0.0,0.0,0.0,0.0,6276.955429,6807.666926,1.294274359,3.513786313,8273.418562,11503.57613,1.678765109,4.557628624,31.832452640380556,01-01-2021 05:00
6,8908.227452,13173.49304,1.809288715,4.911983213,8310.512486,11625.31944,1.681320267,4.564565543,0.0,0.0,0.0,0.0,6296.362962,6852.371699,1.298163865,3.524345815,8276.170459,11513.87285,1.679180592,4.558756605,31.85306208901897,01-01-2021 06:00
7,8915.187314,13209.22489,1.810312584,4.914762885,8283.12171,11574.29979,1.676416893,4.551253521,0.0,0.0,0.0,0.0,6321.524004,6919.358387,1.303196168,3.538007863,8264.379236,11501.3109,1.677030686,4.552919891,31.859099702249804,01-01-2021 07:00
8,8896.720017,13178.83705,1.809414266,4.912324067,8272.688232,11563.62651,1.67673695,4.552122435,0.0,0.0,0.0,0.0,6324.674172,6935.750997,1.305492115,3.544241059,8256.045652,11496.2439,1.677769857,4.554926642,31.83103400321224,01-01-2021 08:00
9,8896.353492,13142.87127,1.805764808,4.902416265,8262.523969,11505.92586,1.671511385,4.537935708,0.0,0.0,0.0,0.0,6312.87391,6889.912283,1.300427789,3.530492076,8242.0567,11429.26862,1.671781408,4.538668785,31.758948416906424,01-01-2021 09:00
