Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_2.1,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4
01-01-2021 0.00,4970.458734,3742.267331,0.922700159,2.457373585,8376.085417,10550.57303,1.516744101,4.03945621,5083.417984,3901.139046,0.941527502,2.507515351,6250.974548,6015.89645,1.153975117,3.073314708
01-01-2021 1.00,4994.079424,3787.736003,0.927748861,2.470819499,8383.380448,10582.65546,1.518898248,4.045193227,5086.219825,3912.503205,0.942677594,2.510578323,6249.168408,6021.998118,1.154357409,3.074332844
01-01-2021 2.00,0.0,0.0,0.0,0.0,8303.59727,10435.05401,1.509907231,4.021247973,5105.737209,3957.988206,0.948792865,2.526864768,6254.563967,6052.055279,1.158357443,3.084985901
01-01-2021 3.00,0.0,0.0,0.0,0.0,8323.8031,10492.22756,1.512904629,4.029230769,5109.727829,3970.587671,0.949439514,2.528586951,6253.828945,6058.780735,1.158105216,3.084314161
01-01-2021 4.00,0.0,0.0,0.0,0.0,8325.000432,10460.32879,1.508500175,4.017500642,5095.88364,3934.120652,0.94393229,2.513919883,6253.321416,6037.267085,1.154401059,3.074449095
01-01-2021 5.00,0.0,0.0,0.0,0.0,8315.990366,10489.99479,1.512978637,4.02942787,5074.799434,3918.91138,0.943765081,2.513474564,6256.55599,6073.762698,1.159576356,3.088232162
01-01-2021 6.00,0.0,0.0,0.0,0.0,8341.47661,10528.45298,1.512711246,4.028715743,5072.491627,3909.069153,0.940582369,2.504998232,6251.735742,6054.47056,1.155340526,3.076951123
01-01-2021 7.00,0.0,0.0,0.0,0.0,8334.938921,10534.78708,1.514457423,4.033366234,5077.769356,3925.996523,0.943356996,2.512387737,6247.900782,6059.302735,1.156843566,3.080954082
01-01-2021 8.00,0.0,0.0,0.0,0.0,8363.137726,10580.42995,1.517670882,4.041924454,5075.777459,3914.742452,0.942102756,2.50904739,6247.546886,6046.915679,1.155662021,3.077807342
01-01-2021 9.00,0.0,0.0,0.0,0.0,8370.471144,10622.67572,1.52188093,4.05313683,5094.719314,3956.344325,0.947553683,2.523564527,6243.585301,6054.148064,1.157265303,3.082077268
01-01-2021 10.00,0.0,0.0,0.0,0.0,8358.725869,10556.1723,1.514418641,4.03326295,5075.59189,3909.513213,0.940513357,2.504814436,6246.333177,6036.680106,1.153529131,3.072126941
01-01-2021 11.00,0.0,0.0,0.0,0.0,8355.807935,10584.7603,1.518288306,4.043568803,5079.249645,3929.25516,0.943920753,2.513889157,6246.668806,6058.182109,1.156963678,3.08127397
01-01-2021 12.00,0.0,0.0,0.0,0.0,8342.115492,10560.86057,1.516248878,4.038137313,5091.812584,3953.585516,0.946497431,2.520751473,6246.357834,6062.414353,1.157132072,3.081722444
01-01-2021 13.00,0.0,0.0,0.0,0.0,8364.01912,10595.25924,1.51731098,4.040965947,5110.613695,3979.521588,0.948459549,2.525977069,6244.213465,6049.948625,1.154908014,3.075799237
01-01-2021 14.00,0.0,0.0,0.0,0.0,8348.55709,10557.67497,1.513400902,4.030552464,5115.978453,3988.283359,0.948612876,2.526385414,6244.993735,6050.970765,1.154086691,3.073611856
01-01-2021 15.00,0.0,0.0,0.0,0.0,8351.395153,10600.06082,1.51812775,4.043141203,5137.715741,4039.180557,0.955336912,2.544293148,6244.132794,6070.504205,1.15716191,3.081801907
01-01-2021 16.00,0.0,0.0,0.0,0.0,8367.357503,10612.54176,1.519195668,4.045985327,5122.870425,4003.498526,0.951494097,2.534058802,6241.949353,6051.252559,1.155556197,3.077525508
01-01-2021 17.00,0.0,0.0,0.0,0.0,8376.976588,10624.11367,1.518731012,4.044747836,5118.180976,3992.289509,0.949385297,2.528442559,6237.64409,6037.466723,1.153228413,3.071326056
01-01-2021 18.00,0.0,0.0,0.0,0.0,8347.913249,10545.82412,1.512652511,4.028559317,5125.000648,3998.559757,0.949730782,2.529362668,6242.270794,6038.953197,1.152962469,3.070617781
01-01-2021 19.00,0.0,0.0,0.0,0.0,8358.377285,10617.55927,1.520325217,4.04899359,5134.485507,4033.232846,0.955270919,2.544117392,6244.278582,6070.683354,1.157900318,3.083768466
01-01-2021 20.00,0.0,0.0,0.0,0.0,8368.824237,10636.69468,1.521183939,4.051280575,5120.342938,4007.868182,0.952203413,2.535947883,6243.063838,6065.764051,1.157094544,3.081622495
01-01-2021 21.00,0.0,0.0,0.0,0.0,8400.01566,10718.82789,1.526501508,4.065442545,5098.290837,3976.146467,0.948338874,2.525655681,6243.049998,6073.223376,1.157392493,3.082416007
01-01-2021 22.00,0.0,0.0,0.0,0.0,8426.541396,10740.85246,1.527155053,4.067183093,5095.390573,3955.309144,0.945429392,2.517907027,6244.241259,6052.03382,1.15474014,3.075352149
01-01-2021 23.00,0.0,0.0,0.0,0.0,8445.209777,10816.33637,1.533674959,4.08454718,5090.42242,3960.194784,0.946788011,2.521525357,6245.74725,6074.275004,1.157693942,3.083218837
02-01-2021 0.00,0.0,0.0,0.0,0.0,8452.632195,10839.42002,1.535052807,4.088216723,5088.051922,3959.161842,0.946488622,2.520728014,6239.645932,6066.743751,1.156815606,3.080879618
02-01-2021 1.00,0.0,0.0,0.0,0.0,8463.503229,10832.31905,1.533739487,4.084719033,5078.40781,3930.089405,0.942694237,2.510622647,6242.558935,6053.127653,1.154923346,3.075840071
02-01-2021 2.00,0.0,0.0,0.0,0.0,8460.707715,10820.18552,1.531250956,4.078091474,5091.987962,3951.787541,0.944039766,2.514206117,6238.593789,6043.398104,1.152767666,3.070098974
02-01-2021 3.00,0.0,0.0,0.0,0.0,8474.459662,10838.9337,1.533058208,4.082904622,5107.419557,3971.8329,0.946611851,2.521056201,6234.126456,6026.266924,1.151556905,3.066874426
02-01-2021 4.00,0.0,0.0,0.0,0.0,8495.559874,10913.3123,1.541179183,4.104532742,5102.942637,3973.082038,0.948665211,2.526524796,6236.632884,6044.72503,1.155516591,3.077420027
02-01-2021 5.00,0.0,0.0,0.0,0.0,8477.422374,10842.99185,1.533727133,4.084686132,5086.889386,3936.124053,0.942899298,2.511168774,6233.728169,6023.386787,1.151602991,3.066997165
02-01-2021 6.00,0.0,0.0,0.0,0.0,8469.748521,10851.65924,1.536703196,4.092612107,5090.449201,3951.095423,0.946081954,2.519644956,6232.126692,6034.338942,1.154408559,3.07446907
02-01-2021 7.00,0.0,0.0,0.0,0.0,8468.34337,10822.17176,1.533418466,4.083864076,5108.864616,3971.657092,0.94757281,2.523615469,6234.394913,6023.7085,1.152552523,3.069525997
02-01-2021 8.00,0.0,0.0,0.0,0.0,8476.335568,10836.45868,1.536033598,4.090828806,5115.028854,3978.791017,0.949447294,2.528607671,6234.807203,6020.332885,1.153505669,3.072064455
02-01-2021 9.00,0.0,0.0,0.0,0.0,8497.894854,10897.97131,1.540511299,4.102754006,5121.034665,3993.908498,0.951226704,2.533346671,6230.612842,6019.226252,1.153482286,3.07200218
02-01-2021 10.00,0.0,0.0,0.0,0.0,8501.345424,10879.53098,1.538733307,4.098018784,5127.312703,3993.524256,0.950847939,2.532337928,6230.637645,6003.625705,1.151695607,3.067243823
02-01-2021 11.00,0.0,0.0,0.0,0.0,8502.052636,10893.77582,1.542040731,4.106827252,5118.306899,3981.984549,0.951066597,2.532920267,6231.668506,6011.146502,1.154147911,3.073774901
02-01-2021 12.00,0.0,0.0,0.0,0.0,8483.461466,10861.22811,1.540029767,4.10147157,5127.053656,4000.740328,0.953299307,2.538866513,6233.669559,6020.663512,1.155169225,3.076494906
02-01-2021 13.00,0.0,0.0,0.0,0.0,8475.140474,10818.98919,1.535793303,4.090188841,5125.900064,3990.099861,0.951354244,2.533686341,6233.044031,6006.395826,1.152863017,3.070352917
02-01-2021 14.00,0.0,0.0,0.0,0.0,8512.841821,10910.4778,1.544242326,4.112690632,5121.937674,3984.035182,0.952024225,2.535470661,6235.751111,6012.670653,1.154990951,3.07602012
02-01-2021 15.00,0.0,0.0,0.0,0.0,8501.945009,10845.58255,1.538155237,4.096479243,5130.800188,3983.000761,0.950823616,2.532273149,6242.57831,6002.729616,1.152826758,3.070256351
02-01-2021 16.00,0.0,0.0,0.0,0.0,8509.241502,10853.73299,1.539094936,4.098981887,5140.849357,3995.935107,0.952502453,2.5367443,6246.411722,6004.645505,1.153333754,3.071606602
02-01-2021 17.00,0.0,0.0,0.0,0.0,8477.394484,10785.46915,1.533097918,4.083010379,5169.259527,4046.314623,0.957290164,2.549495131,6243.539345,6002.618382,1.15219007,3.068560695
