Unnamed: 0,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,THERMAL_EFF
01-01-2021 0.00,0.0,0.0,0.0,0.0,4759.433346,3825.351358,0.969676084,2.429659564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01-01-2021 1.00,0.0,0.0,0.0,0.0,4760.290507,3830.606524,0.970203632,2.430981411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01-01-2021 2.00,0.0,0.0,0.0,0.0,4758.772657,3828.175167,0.969166503,2.428382738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01-01-2021 3.00,0.0,0.0,0.0,0.0,4756.228401,3827.532065,0.969895142,2.430208445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
01-01-2021 4.00,0.0,0.0,0.0,0.0,4757.200105,3840.618534,0.971496687,2.434221342,10000.0,16161.34778,1.964060045,4.921228186,0.0,0.0,0.0,0.0,
01-01-2021 5.00,0.0,0.0,0.0,0.0,4761.984745,3851.941108,0.972777138,2.437429691,10000.0,16170.35158,1.964556036,4.922470958,0.0,0.0,0.0,0.0,
01-01-2021 6.00,0.0,0.0,0.0,0.0,4764.092863,3841.551646,0.969983896,2.430430831,10000.0,16113.74933,1.958157122,4.906437582,0.0,0.0,0.0,0.0,
01-01-2021 7.00,0.0,0.0,0.0,0.0,4768.971219,3850.956995,0.972262246,2.436139558,10000.0,16125.12325,1.96106641,4.913727212,0.0,0.0,0.0,0.0,
01-01-2021 8.00,0.0,0.0,0.0,0.0,4771.452387,3857.879043,0.972671282,2.437164453,9994.708111,16116.05396,1.959785373,4.910517394,0.0,0.0,0.0,0.0,
01-01-2021 9.00,0.0,0.0,0.0,0.0,4771.18969,3851.39708,0.972090359,2.435708869,9991.858629,16090.53934,1.958569405,4.907470614,0.0,0.0,0.0,0.0,
