Unnamed: 0,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,THERMAL_EFF,DATE_TIME
01-01-2021 0.00,0.0,0.0,0.0,7976.247643,6910.025212,1.020987009,2.616375172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 1.00,0.0,0.0,0.0,7971.660973,6914.488659,1.021404722,2.6174456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 2.00,0.0,0.0,0.0,7964.091949,6922.599866,1.021885817,2.618678454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 3.00,0.0,0.0,0.0,7960.298059,6884.936891,1.017427386,2.607253304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 4.00,0.0,0.0,0.0,7955.429354,6902.013979,1.019605086,2.612833864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 5.00,0.0,0.0,0.0,7943.74655,6903.156959,1.019842249,2.613441617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 6.00,0.0,0.0,0.0,7938.107244,6872.594715,1.016768463,2.605564751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 7.00,0.0,0.0,0.0,7937.363303,6901.697016,1.019353915,2.612190216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 8.00,0.0,0.0,0.0,7935.429491,6887.177736,1.017887494,2.608432374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 9.00,0.0,0.0,0.0,7930.891881,6897.431596,1.019115632,2.611579592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 10.00,0.0,0.0,0.0,7934.074127,6896.991479,1.018163456,2.609139553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 11.00,0.0,0.0,0.0,7928.459748,6880.162796,1.015755435,2.602968772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 12.00,0.0,0.0,0.0,7935.668934,6894.720701,1.01771033,2.607978373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 13.00,0.0,0.0,0.0,7937.784396,6908.048914,1.018981499,2.611235865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 14.00,0.0,0.0,0.0,7941.873251,6889.885839,1.015676691,2.602766984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 15.00,0.0,0.0,0.0,7949.046088,6915.885604,1.017897301,2.608457506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 16.00,0.0,0.0,0.0,7949.198219,6908.617722,1.017281996,2.606880727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 17.00,0.0,0.0,0.0,7944.96587,6910.10145,1.018439022,2.609845715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 18.00,0.0,0.0,0.0,7940.890615,6894.780556,1.015715459,2.60286633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
01-01-2021 19.00,0.0,0.0,0.0,7938.445655,6897.714167,1.017090493,2.606389983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
