,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5
01-01-2021 00:00,7130.072675,8125.540656,1.290830042,3.499113628,0,,,,8963.772681,12206.32733,1.564407989,4.240714219,0,,,,8468.045064,10955.48986,1.473648024,3.994686921
01-01-2021 01:00,7141.376929,8169.82111,1.296997933,3.515833221,0,,,,8957.040689,12223.2228,1.56878092,4.25256813,0,,,,8443.709765,10928.71056,1.474999399,3.998350157
01-01-2021 02:00,7146.241525,8156.337334,1.293791744,3.507142053,0,,,,8956.893473,12187.22665,1.563909732,4.239363571,0,,,,8441.415404,10891.63027,1.470181833,3.985290952
01-01-2021 03:00,7150.622065,8168.602803,1.294126835,3.5080504,0,,,,8959.135765,12195.69618,1.56373158,4.238880646,0,,,,8443.54641,10899.51407,1.470005133,3.984811963
01-01-2021 04:00,7161.82673,8226.433547,1.301391657,3.527743496,0,,,,8964.931498,12259.98157,1.571104457,4.258866651,0,,,,8456.105684,10973.17234,1.478028947,4.006562495
01-01-2021 05:00,7136.100354,8165.579513,1.295892573,3.512836868,0,,,,8963.348977,12246.19667,1.569210106,4.253731545,0,,,,8438.055514,10923.82245,1.473888479,3.995338733
01-01-2021 06:00,7138.208067,8163.952905,1.293934474,3.507528957,0,,,,8967.163363,12243.78393,1.566800077,4.247198566,0,,,,8437.441091,10913.08091,1.47113106,3.987864067
01-01-2021 07:00,7141.625836,8157.822277,1.292707068,3.504201772,0,,,,8965.722031,12220.5924,1.564381694,4.240642942,0,,,,8432.55053,10883.91865,1.46828971,3.980161887
01-01-2021 08:00,7148.06495,8198.241381,1.29862871,3.520253845,0,,,,8975.175184,12284.19693,1.571797459,4.260745203,0,,,,8427.219768,10908.48021,1.473127895,3.993276981
01-01-2021 09:00,7144.145602,8181.537932,1.296391225,3.514188587,0,,,,8983.004578,12289.46477,1.570988893,4.258553385,0,,,,8425.990135,10894.24724,1.471097693,3.987773618
01-01-2021 10:00,7149.038435,8189.994308,1.295916449,3.512901591,0,,,,8994.497512,12312.17065,1.571047286,4.258711675,0,,,,8414.263986,10864.18245,1.467783889,3.978790733
01-01-2021 11:00,7155.244973,8192.67911,1.295635794,3.512140807,0,,,,8998.692839,12307.05072,1.57018929,4.256385863,0,,,,8420.437914,10864.43845,1.467246447,3.977333863
01-01-2021 12:00,7157.389677,8225.468263,1.29975292,3.523301294,0,,,,9003.638665,12360.09889,1.575516461,4.270826476,0,,,,8416.944941,10893.27143,1.470964332,3.98741211
01-01-2021 13:00,7161.197902,8215.682879,1.299698558,3.523153931,0,,,,9007.050752,12344.28578,1.575284042,4.270196447,0,,,,8420.309065,10879.24306,1.4707985,3.986962582
01-01-2021 14:00,7164.468756,8241.819723,1.301582518,3.528260871,0,,,,9010.234671,12377.84266,1.577261108,4.275555774,0,,,,8426.58603,10917.48485,1.473265688,3.993650503
01-01-2021 15:00,7158.027398,8210.439348,1.297819436,3.518060108,0,,,,9021.472225,12378.44135,1.575722147,4.271384039,0,,,,8440.341997,10925.48886,1.472281875,3.990983635
01-01-2021 16:00,7166.664358,8246.591427,1.301536415,3.528135898,0,,,,9025.408426,12413.4652,1.57897873,4.280211811,0,,,,8437.511378,10941.49248,1.474337551,3.996556052
01-01-2021 17:00,7167.423199,8218.318283,1.298555777,3.520056141,0,,,,9022.245256,12363.19455,1.57479231,4.268863486,0,,,,8439.22594,10907.1435,1.471156133,3.987932033
01-01-2021 18:00,7161.446176,8209.467801,1.298955442,3.521139531,0,,,,9022.492159,12371.49892,1.576689643,4.274006677,0,,,,8416.571053,10861.73615,1.469407768,3.98319266
01-01-2021 19:00,7169.0231,8235.892023,1.299658324,3.523044867,0,,,,9035.60344,12414.32651,1.577805473,4.27703141,0,,,,8394.959375,10823.98597,1.465371601,3.972251632
01-01-2021 20:00,7171.666857,8243.357171,1.301837604,3.528952343,0,,,,9031.623851,12410.84184,1.579591659,4.281873307,0,,,,8413.735609,10871.84488,1.470512635,3.986187675
01-01-2021 21:00,7167.175102,8226.916681,1.299550582,3.522752805,0,,,,9039.930785,12419.25429,1.578939425,4.280105265,0,,,,8419.040164,10873.71181,1.469437051,3.983272037
01-01-2021 22:00,7167.417805,8233.898396,1.299963891,3.523873181,0,,,,9042.642986,12433.9909,1.57967963,4.282111775,0,,,,8423.926815,10892.48561,1.470580379,3.98637131
01-01-2021 23:00,7164.253255,8209.523669,1.296893947,3.515551341,0,,,,9038.261031,12397.163,1.575927664,4.271941145,0,,,,8405.345927,10826.87988,1.46485582,3.970853481
02-01-2021 00:00,7154.277523,8211.94927,1.299409312,3.522369858,0,,,,9038.288104,12433.43355,1.581045168,4.285813402,0,,,,8404.06362,10855.47806,1.469385312,3.983131785
