,CMP_SPEED_1,POWER_1,FUEL_FLOW_1,CO2_1,CMP_SPEED_2,POWER_2,FUEL_FLOW_2,CO2_2,CMP_SPEED_3,POWER_3,FUEL_FLOW_3,CO2_3,CMP_SPEED_4,POWER_4,FUEL_FLOW_4,CO2_4,CMP_SPEED_5,POWER_5,FUEL_FLOW_5,CO2_5,CMP_SPEED_6,POWER_6,FUEL_FLOW_6,CO2_6
01-01-2021 00:00,0,,,,7326.136866,8250.718657,1.362372443,3.245028728,0,,,,0,,,,0,,,,8396.454353,10601.17814,1.542593021,3.674295305
01-01-2021 01:00,0,,,,7340.811002,8296.870598,1.366618228,3.255141744,0,,,,0,,,,0,,,,8385.865437,10595.76795,1.542744188,3.674655367
01-01-2021 02:00,0,,,,7322.660906,8256.139689,1.364256484,3.249516317,0,,,,0,,,,0,,,,8366.934155,10549.88383,1.540491905,3.669290666
01-01-2021 03:00,0,,,,7344.599769,8299.539734,1.365272125,3.251935467,0,,,,0,,,,0,,,,8365.812283,10542.94913,1.537118699,3.661256041
01-01-2021 04:00,0,,,,7348.626205,8313.676924,1.366623962,3.255155401,0,,,,0,,,,0,,,,8359.806087,10535.96693,1.536785188,3.660461653
01-01-2021 05:00,0,,,,7305.823155,8220.568839,1.357904323,3.234386134,0,,,,0,,,,0,,,,8345.143513,10500.21071,1.532807915,3.650988204
01-01-2021 06:00,0,,,,7308.921911,8224.924145,1.358536146,3.235891071,0,,,,0,,,,0,,,,8353.384926,10516.35738,1.534338225,3.654633243
01-01-2021 07:00,0,,,,7322.896919,8264.046025,1.361841546,3.243764187,0,,,,0,,,,0,,,,8325.762899,10465.29759,1.530784384,3.646168365
01-01-2021 08:00,0,,,,7324.344635,8259.935031,1.359472337,3.23812098,0,,,,0,,,,0,,,,8310.51907,10421.27208,1.525304473,3.633115789
01-01-2021 09:00,0,,,,7345.342356,8312.315637,1.363856236,3.248562969,0,,,,0,,,,0,,,,8319.260461,10450.64085,1.527620706,3.638632814
01-01-2021 10:00,0,,,,7356.834323,8340.099201,1.365733854,3.253035258,0,,,,0,,,,0,,,,8301.053679,10413.1016,1.524514845,3.631234978
01-01-2021 11:00,0,,,,7371.980473,8387.13575,1.369813496,3.262752539,0,,,,0,,,,0,,,,8303.338533,10436.6437,1.526550479,3.636083647
01-01-2021 12:00,0,,,,7371.408487,8385.191552,1.369465613,3.261923918,0,,,,0,,,,0,,,,8285.836035,10396.07286,1.523414341,3.628613694
01-01-2021 13:00,0,,,,7366.898063,8371.254258,1.369270694,3.261459641,0,,,,0,,,,0,,,,8299.754658,10422.55223,1.52633099,3.635560846
01-01-2021 14:00,0,,,,7346.73943,8321.828025,1.364440412,3.249954413,0,,,,0,,,,0,,,,8309.332224,10435.94998,1.526226824,3.635312733
01-01-2021 15:00,0,,,,7350.228662,8351.618973,1.365894111,3.253416974,0,,,,0,,,,0,,,,8310.096006,10465.8299,1.527335978,3.637954623
01-01-2021 16:00,0,,,,7352.135564,8371.513305,1.368478302,3.259572246,0,,,,0,,,,0,,,,8294.242906,10448.8249,1.527111425,3.63741976
01-01-2021 17:00,0,,,,7350.833454,8357.988389,1.368459267,3.259526907,0,,,,0,,,,10000,14555.93216,1.800819714,4.28936429,8302.819386,10455.10534,1.528792093,3.641422937
01-01-2021 18:00,0,,,,7382.055092,8431.524615,1.374404502,3.273687835,0,,,,0,,,,10000,14566.62853,1.801511764,4.291012679,8269.907965,10388.39038,1.524037647,3.630098343
01-01-2021 19:00,0,,,,7366.308032,8413.631487,1.372727794,3.269694091,0,,,,0,,,,10000,14591.50588,1.802771566,4.294013397,8276.075539,10422.11729,1.526207881,3.635267612
01-01-2021 20:00,0,,,,7387.608829,8452.601284,1.375795048,3.276999969,0,,,,0,,,,9999.734923,14579.8328,1.801970645,4.292105686,8272.068478,10404.71136,1.524898482,3.632148761
01-01-2021 21:00,0,,,,7379.808781,8427.233611,1.373643965,3.271876315,0,,,,0,,,,10000,14566.11203,1.800870279,4.289484731,8265.878227,10379.58161,1.522861075,3.62729587
01-01-2021 22:00,0,,,,7396.654249,8437.977691,1.373204885,3.270830473,0,,,,0,,,,10000,14522.48792,1.796455321,4.278968761,8256.885273,10327.35334,1.517593195,3.614748332
01-01-2021 23:00,0,,,,7392.952034,8455.00314,1.375222239,3.275635599,0,,,,0,,,,10000,14563.52055,1.799823704,4.286991899,8265.762007,10377.77723,1.521900827,3.625008661
02-01-2021 00:00,0,,,,7383.684065,8407.654332,1.3703131,3.263942544,0,,,,0,,,,9996.955978,14510.76203,1.79515686,4.275875963,8268.527439,10349.70173,1.51861072,3.617171969
02-01-2021 01:00,0,,,,7405.926952,8490.545242,1.378491561,3.283422783,0,,,,0,,,,9995.189649,14564.35262,1.800446844,4.288476152,8261.260168,10376.62658,1.522291967,3.625940316
02-01-2021 02:00,0,,,,7382.473646,8448.653315,1.375844173,3.277116981,0,,,,0,,,,9992.727943,14572.49503,1.801732907,4.29153942,8281.42241,10432.75981,1.526987474,3.637124521
02-01-2021 03:00,0,,,,7378.964093,8428.978283,1.37343068,3.271368292,0,,,,0,,,,9990.682168,14546.70403,1.799073674,4.285205406,8274.559185,10402.39043,1.523910076,3.629794481
02-01-2021 04:00,0,,,,7395.456484,8463.337913,1.377560654,3.28120546,0,,,,0,,,,9993.168009,14553.58011,1.801343964,4.290612999,8270.624434,10391.69343,1.524665528,3.631593889
02-01-2021 05:00,0,,,,7379.147026,8411.878384,1.3733344,3.271138964,0,,,,0,,,,9993.636106,14527.90925,1.799532954,4.286299362,8272.95643,10376.76358,1.523440624,3.628676297
02-01-2021 06:00,0,,,,7378.865055,8421.62846,1.374111228,3.272989287,0,,,,0,,,,9998.779565,14556.80603,1.801240369,4.290366245,8261.321972,10363.30114,1.522426811,3.6262615
02-01-2021 07:00,0,,,,7371.453371,8403.487859,1.372679763,3.269579687,0,,,,0,,,,9998.653072,14552.4514,1.800960685,4.289700069,8355.62824,10575.35085,1.537700845,3.662642652
02-01-2021 08:00,0,,,,7412.989903,8475.031744,1.379031885,3.284709776,0,,,,0,,,,9998.089104,14523.95289,1.800079186,4.287600429,8343.175092,10524.74149,1.534771518,3.655665302
02-01-2021 09:00,0,,,,7447.922468,8563.671183,1.385719711,3.30063948,0,,,,0,,,,9997.58961,14543.62073,1.800826023,4.289379316,8354.814057,10567.90087,1.53737273,3.661861116
02-01-2021 10:00,0,,,,7450.428247,8542.293044,1.383847908,3.296181041,0,,,,0,,,,9996.09758,14497.05286,1.797672743,4.281868535,8372.087362,10573.97218,1.537606769,3.662418573
02-01-2021 11:00,0,,,,7462.563247,8584.087339,1.388242827,3.306649278,0,,,,0,,,,9995.939196,14522.88208,1.800627959,4.28890755,8386.260083,10625.86511,1.542518957,3.674118891
02-01-2021 12:00,0,,,,7448.003575,8525.219753,1.3816561,3.290960383,0,,,,0,,,,9999.242298,14485.51764,1.795931351,4.277720719,8395.251577,10612.68003,1.539482838,3.666887173
02-01-2021 13:00,0,,,,7434.507989,8508.965893,1.381075962,3.289578556,0,,,,0,,,,10000,14508.25633,1.798153745,4.283014231,8405.09624,10651.4427,1.543014844,3.675300041
02-01-2021 14:00,0,,,,7430.278847,8486.837347,1.37980131,3.286542467,0,,,,0,,,,10000,14487.18193,1.797321553,4.281032037,8416.575023,10661.19414,1.544219562,3.678169555
02-01-2021 15:00,0,,,,7439.926644,8509.734481,1.383479448,3.295303408,0,,,,0,,,,10000,14493.99407,1.800193228,4.287872067,8413.723622,10657.46155,1.546000899,3.682412512
02-01-2021 16:00,0,,,,7450.971519,8506.377006,1.382115272,3.292054083,0,,,,0,,,,9996.58715,14441.97324,1.795664609,4.277085368,8417.880687,10633.39841,1.543066642,3.675423419
02-01-2021 17:00,0,,,,7469.699827,8549.640043,1.386237118,3.301871889,0,,,,0,,,,9995.391072,14444.59496,1.79670603,4.279565925,8424.237474,10651.14401,1.545061089,3.680173983
02-01-2021 18:00,0,,,,7467.88275,8545.320586,1.384955076,3.298818199,6779.650593,7081.710529,1.272470395,3.03089145,0,,,,9999.227271,14451.79484,1.795868749,4.277571609,8419.760891,10640.19537,1.543168704,3.67566652
02-01-2021 19:00,0,,,,7441.610047,8478.197231,1.379962547,3.286926516,6773.551593,7059.589691,1.270821736,3.026964515,0,,,,10000,14436.70628,1.795344653,4.276323267,8426.017641,10640.62043,1.543509881,3.676479169
